email_text,label
"Re: [ILUG] Newbie seeks advice - Suse 7.2
On Fri, Aug 23, 2002 at 09:26:47AM +0100, Padraig Brady wrote:
[...]
> probably a bit old, 7.3 and 8.0 are out.

And I've been told by a SuSE rep that 8.1 will be out in October,
for those who are interested.

David	

-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",0
"RE: Selling Wedded Bliss (was Re: Ouch...)
cdale is a double chocolate chip macadamia to my vanilla wafer.  wait, maybe
i'm a ginger snap.

<cough>
gg

-----Original Message-----
From: fork-admin@xent.com [mailto:fork-admin@xent.com]On Behalf Of
Russell Turpin
Sent: Saturday, September 07, 2002 11:06 AM
To: fork@example.com
Subject: Re: Selling Wedded Bliss (was Re: Ouch...)


Robert Harley:
>It is perfectly obvious that (heterosexual) promiscuity is exactly,
>precisely identical between males and females.

Yeah, assuming approximately equal populations.
But that obscures the different modes of
promiscuity. Both the person who gives sex for
money or power or companionship and the person
who uses money and power and companionship to
get sex are promiscuous, in the broadest sense
of the word. But their motives and behavior are
quite different.

Langur monkeys were the example in the cited
article. ""Dominant males .. kill babies that
are not their own."" ""The dominant male monkey
.. seeks to defend his harem of females."" But
cozying up to the current dominant male isn't
the best strategy for female langurs, because
""dominant males are dethroned by rivals every
27 months or so."" ""By mating with as many
extra-group males as possible, female langurs
ensure their offspring against infanticide,""
by the male who is likely next to rule the
roost.

Maybe it's just me, but that doesn't paint a
picture of carefree females engaged in joyously
promiscuous couplings. The dom cab driver who
is taking her two boy toys to New Orleans is a
better picture of that. ;-)





_________________________________________________________________
Chat with friends online, try MSN Messenger: http://messenger.msn.com",0
"Re: New Sequences Window
    Date:        Wed, 21 Aug 2002 10:54:46 -0500
    From:        Chris Garrigues <cwg-dated-1030377287.06fa6d@DeepEddy.Com>
    Message-ID:  <1029945287.4797.TMDA@deepeddy.vircio.com>


  | I can't reproduce this error.

For me it is very repeatable... (like every time, without fail).

This is the debug log of the pick happening ...

18:19:03 Pick_It {exec pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace} {4852-4852 -sequence mercury}
18:19:03 exec pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace 4852-4852 -sequence mercury
18:19:04 Ftoc_PickMsgs {{1 hit}}
18:19:04 Marking 1 hits
18:19:04 tkerror: syntax error in expression ""int ...

Note, if I run the pick command by hand ...

delta$ pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace  4852-4852 -sequence mercury
1 hit

That's where the ""1 hit"" comes from (obviously).  The version of nmh I'm
using is ...

delta$ pick -version
pick -- nmh-1.0.4 [compiled on fuchsia.cs.mu.OZ.AU at Sun Mar 17 14:55:56 ICT 2002]

And the relevant part of my .mh_profile ...

delta$ mhparam pick
-seq sel -list


Since the pick command works, the sequence (actually, both of them, the
one that's explicit on the command line, from the search popup, and the
one that comes from .mh_profile) do get created.

kre

ps: this is still using the version of the code form a day ago, I haven't
been able to reach the cvs repository today (local routing issue I think).



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers",0
"Re: Selling Wedded Bliss (was Re: Ouch...)
On Sun, 8 Sep 2002, Gordon Mohr wrote:

> OK, then. Consider a population of 1,000,000. 500,000 men each
> pair off with 500,000 women. Then, 1 man, let's call him ""Wilt"",
> also has sex with the other 499,999 women. 

It is not uncommon to find gay males who had sex with several thousands
partners (there would be more, in fact lots more, probably, but a lot of
them have died). Don't have to be a callboy, if considering that you can
have intercourse with several partners in a single day in a bathouse it
doesn't look particularly difficult to do.

Clearly this is not something what hets do, prostitution not taken into
account.",0
"Robbie Williams signs �80m deal
URL: http://www.newsisfree.com/click/215,8,215/
Date: 2002-10-03T04:20:59+01:00

*Arts:* Robbie Williams has become one of the highest paid singers in the 
world.",0
"Re: Zoot apt/openssh & new DVD playing doc
On Tue, Oct 08, 2002 at 04:36:13PM +0200, Matthias Saou wrote:
> Two new things today :
> 
> 1) I've had to install a Red Hat Linux 6.2 server because of an old
> proprietary IVR software that doesn't work on newer releases :-( So
> I've recompiled both the latest apt and openssh packages for it, and
> they are now available with a complete ""os, updates & freshrpms"" apt
> repository at apt.freshrpms.net, for those who might be interested.

Oh, neat.

I have similiar thing in my hands, though it might be migratable if I
had the time to try. I've been using another 6.x repository though.
http://apt-rpm.tuxfamily.org/apt

Anyone tried (dist-)upgrade from 6.x to 7? Theoretically it should drop
in some -compat's (notably libc) and upgrade the rest and after a reboot
and maybe a new kernel (and grub, but I have long before put those to
v6's :) run just fine. Haven't had a spare machine to try it on myself,
though.

_______________________________________________
RPM-List mailing list <RPM-List@freshrpms.net>
http://lists.freshrpms.net/mailman/listinfo/rpm-list",0
"Bindings problem with current CVS code
I've had this binding in my ~/.exmh/exmhbindings for years:

set {bindings(key,Flist_FindUnseen 1 ; Inc_PresortFinish)} <Key-f>

After updating to the current code in CVS I get ""bad key f"" when 
I hit the ""f"" key.  I can open the Bindings... Commands window 
and define the binding.  It then works until I restart exmh.

I suspect a parsing problem/change.  I'll try to look into this 
tomorrow unless someone knows where the problem might be.

--Hal






_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers",0
"Government plans to hand out free Valium
URL: http://boingboing.net/#85521686
Date: Not supplied

The President's niece will no longer have to forge prescriptions for Valium. 
All she'll have to do is participate in an unruly public demonstration to get a 
free dose. Unfortunately for her, the government has no plans to shoot rocks of 
cocaine at demonstrators, so she'll still have to depend on her drug dealer for 
that. 

    The U.S. military is exploring ways to use drugs such as Valium to calm 
    people without killing them during riots or other crowd control situations 
    where lethal weapons are inappropriate. 

Link[1] Discuss[2]

[1] http://abcnews.go.com/wire/Politics/ap20020925_1716.html
[2] http://www.quicktopic.com/16/H/rwiEsrBZkX8p",0
"RE: Gasp!
On Sun, 1 Sep 2002, Bill Stoddard wrote:

> >
> > ""Red Hat Linux Advanced Server provides many high end features such as:
> > Support for Asynchronous I/O. Now read I/O no longer needs to stall your
> > application while waiting for completion.""
>
> Can you provide a reference?  I could find it myself but I'm too lazy.

Well, i saw it on the Compaq Testdrive site, then had to seriously dig on
the redhat site... It's in one of their whitepapers...
http://www.redhat.com/pdf/as/as_rasm.pdf


> > Could it be? After 20 years without this feature UNIX finally
> > catches up to
> > Windows and has I/O that doesnt totally suck for nontrivial apps? No way!
>
> Do /dev/poll and FreeBSD's KQ event driven APIs count? IMHO, true async
> io as implemented by Windows 4.0 and beyond is pretty slick, but the
> programming model is substantially more complex than programming to an
> event API like /dev/poll. And true async does not buy much if the
> system call overhead is low (as it is with Linux).

I havent used the FBSD poll, as it's not portable, select and poll(still not
100%) are all that exist in the UNIX world. Redhat of course doesnt count as
portable either, but it's nice they are trying. The Windows I/O model does
definately blow the doors off the UNIX one, but then they had select to
point at in it's suckiness and anything would have been an improvement. UNIX
is just now looking at it's I/O model and adapting to a multiprocess
multithreaded world so it's gonna be years yet before a posix API comes out
of it. Bottom line is the ""do stuff when something happens"" model turned out
to be right, and the UNIX ""look for something to do and keep looking till
you find it no matter how many times you have to look"" is not really working
so great anymore.

- Adam L. ""Duncan"" Beberg
  http://www.mithral.com/~beberg/
  beberg@mithral.com",0
"New Blog Category: Yahoo
URL: http://jeremy.zawodny.com/blog/archives/000191.html
Date: 2002-09-25T22:31:04-08:00

I've added a new blog category: Yahoo. Why? Because occasionally I post stuff 
about work, so I might as well categorize. Plus, some private e-mail has 
convinced me that it might be a good idea. (You know who you are....",0
